2026-01-19 21:23:19,138 | INFO | EXCEL | Buscando producto en Excel: 03433
2026-01-19 21:23:19,142 | INFO | EXCEL | Producto encontrado: {'articulo': '03433', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2"', 'stock': 31, 'ubicacion': '0000000000'}
2026-01-19 21:23:19,142 | INFO | AGENT | Respuesta generada correctamente
2026-01-19 21:23:19,142 | INFO | API | Respuesta enviada
2026-01-19 21:26:26,699 | INFO | faiss.loader | Loading faiss with AVX512 support.
2026-01-19 21:26:26,727 | INFO | faiss.loader | Successfully loaded faiss with AVX512 support.
2026-01-19 21:26:40,384 | INFO | API | Mensaje recibido: tienes codo de media 
2026-01-19 21:26:40,384 | INFO | AGENT | Procesando mensaje: tienes codo de media 
2026-01-19 21:26:40,384 | INFO | LLM | Interpretando mensaje: tienes codo de media 
2026-01-19 21:26:42,515 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-19 21:26:42,545 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': 'codo', 'diametro': '1/2', 'unidad': 'pulgada', 'rosca': None, 'angulo': None, 'material': None}
2026-01-19 21:26:42,547 | INFO | AGENT | Texto de búsqueda FAISS: codo 1/2 pulgada
2026-01-19 21:26:42,547 | INFO | FAISS | Búsqueda semántica para: codo 1/2 pulgada
2026-01-19 21:26:42,783 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-19 21:26:42,790 | INFO | FAISS | Resultados FAISS: [{'articulo': '11110', 'descripcion': "CODO PLACA PB 15 MM 1/2''", 'distancia': 0.8171987533569336}, {'articulo': '10601', 'descripcion': 'CODO MACHO ALB PRESS 20X2,5 - 1/2"', 'distancia': 0.8197308778762817}, {'articulo': '03432', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2" NIQUEL', 'distancia': 0.8239887952804565}, {'articulo': '10600', 'descripcion': 'CODO MACHO ALB PRESS 16X2,0 - 1/2"', 'distancia': 0.8243932723999023}, {'articulo': '03433', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2"', 'distancia': 0.834502100944519}]
2026-01-19 21:26:42,791 | INFO | EXCEL | Buscando producto en Excel: 11110
2026-01-19 21:26:42,793 | INFO | EXCEL | Producto encontrado: {'articulo': '11110', 'descripcion': "CODO PLACA PB 15 MM 1/2''", 'stock': 167, 'ubicacion': '0000000000'}
2026-01-19 21:26:42,794 | INFO | EXCEL | Buscando producto en Excel: 10601
2026-01-19 21:26:42,795 | INFO | EXCEL | Producto encontrado: {'articulo': '10601', 'descripcion': 'CODO MACHO ALB PRESS 20X2,5 - 1/2"', 'stock': 16, 'ubicacion': '0000000000'}
2026-01-19 21:26:42,796 | INFO | EXCEL | Buscando producto en Excel: 03432
2026-01-19 21:26:42,797 | INFO | EXCEL | Producto encontrado: {'articulo': '03432', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2" NIQUEL', 'stock': 38, 'ubicacion': '0000000000'}
2026-01-19 21:26:42,798 | INFO | EXCEL | Buscando producto en Excel: 10600
2026-01-19 21:26:42,799 | INFO | EXCEL | Producto encontrado: {'articulo': '10600', 'descripcion': 'CODO MACHO ALB PRESS 16X2,0 - 1/2"', 'stock': 25, 'ubicacion': '0000000000'}
2026-01-19 21:26:42,800 | INFO | EXCEL | Buscando producto en Excel: 03433
2026-01-19 21:26:42,805 | INFO | EXCEL | Producto encontrado: {'articulo': '03433', 'descripcion': 'CODO LATON MACHO 1/2" - TUERCA LOCA 1/2"', 'stock': 31, 'ubicacion': '0000000000'}
2026-01-19 21:26:42,807 | INFO | AGENT | Respuesta final generada correctamente
2026-01-19 21:26:42,808 | INFO | API | Respuesta enviada
2026-01-19 21:28:28,495 | INFO | API | Mensaje recibido: necesito que sea de metal o bronce 
2026-01-19 21:28:28,496 | INFO | AGENT | Procesando mensaje: necesito que sea de metal o bronce 
2026-01-19 21:28:28,496 | INFO | LLM | Interpretando mensaje: necesito que sea de metal o bronce 
2026-01-19 21:28:30,558 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-19 21:28:30,559 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': None, 'diametro': None, 'unidad': None, 'rosca': None, 'angulo': None, 'material': ['metal', 'bronce']}
2026-01-19 21:28:30,559 | INFO | AGENT | Texto de búsqueda FAISS: ['metal', 'bronce']
2026-01-19 21:28:30,560 | INFO | FAISS | Búsqueda semántica para: ['metal', 'bronce']
2026-01-19 21:28:30,832 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-19 21:28:30,846 | INFO | FAISS | Resultados FAISS: [{'articulo': '04265', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 18 X 3/4"', 'distancia': 1.1315016746520996}, {'articulo': '04264', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 18 X 1/2"', 'distancia': 1.1339006423950195}, {'articulo': '04221', 'descripcion': "TE HEMBRA BRONCE 4130G 18 X 3/4''", 'distancia': 1.136580228805542}, {'articulo': '04266', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 22 X 1/2"', 'distancia': 1.141552448272705}, {'articulo': '04267', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 22 X 3/4"', 'distancia': 1.1467430591583252}]
2026-01-19 21:28:30,848 | INFO | EXCEL | Buscando producto en Excel: 04265
2026-01-19 21:28:30,851 | INFO | EXCEL | Producto encontrado: {'articulo': '04265', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 18 X 3/4"', 'stock': 25, 'ubicacion': '0000000000'}
2026-01-19 21:28:30,853 | INFO | EXCEL | Buscando producto en Excel: 04264
2026-01-19 21:28:30,854 | INFO | EXCEL | Producto encontrado: {'articulo': '04264', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 18 X 1/2"', 'stock': 77, 'ubicacion': '0000000000'}
2026-01-19 21:28:30,854 | INFO | EXCEL | Buscando producto en Excel: 04221
2026-01-19 21:28:30,859 | INFO | EXCEL | Producto encontrado: {'articulo': '04221', 'descripcion': "TE HEMBRA BRONCE 4130G 18 X 3/4''", 'stock': 22, 'ubicacion': '0000000000'}
2026-01-19 21:28:30,859 | INFO | EXCEL | Buscando producto en Excel: 04266
2026-01-19 21:28:30,864 | INFO | EXCEL | Producto encontrado: {'articulo': '04266', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 22 X 1/2"', 'stock': 30, 'ubicacion': '0000000000'}
2026-01-19 21:28:30,864 | INFO | EXCEL | Buscando producto en Excel: 04267
2026-01-19 21:28:30,870 | INFO | EXCEL | Producto encontrado: {'articulo': '04267', 'descripcion': 'ENTRONQUE MACHO BRONCE 4243G 22 X 3/4"', 'stock': 13, 'ubicacion': '0000000000'}
2026-01-19 21:28:30,870 | INFO | AGENT | Respuesta final generada correctamente
2026-01-19 21:28:30,870 | INFO | API | Respuesta enviada
2026-01-19 21:28:45,354 | INFO | API | Mensaje recibido: pero solo de media pulgada
2026-01-19 21:28:45,355 | INFO | AGENT | Procesando mensaje: pero solo de media pulgada
2026-01-19 21:28:45,355 | INFO | LLM | Interpretando mensaje: pero solo de media pulgada
2026-01-19 21:28:47,130 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-19 21:28:47,135 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': None, 'diametro': '1/2', 'unidad': 'pulgada', 'rosca': None, 'angulo': None, 'material': None}
2026-01-19 21:28:47,136 | INFO | AGENT | Texto de búsqueda FAISS: 1/2 pulgada
2026-01-19 21:28:47,136 | INFO | FAISS | Búsqueda semántica para: 1/2 pulgada
2026-01-19 21:28:47,347 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
